,filename,map_id
0,static/HansardDataAMF/2020-05-12/Defence/Covid-19: Defence Science and Technology Laboratory.txt,[17982]
0,static/HansardDataAMF/2019-05-15/DELEGATED LEGISLATION/Exiting the European Union (Customs).txt,[17987]
